year,population
1990,2793655
1991,2792167
1992,2789613
1993,2785671
1994,2783485
1995,2801371
1996,2813819
1997,2807875
1998,2802548
1999,2798885
2000,2891582
2001,2874477
2002,2847266
2003,2819117
2004,2786291
2005,2752523
2006,2720181
2007,2703991
2008,2697359
2009,2697006
2010,2699056
2011,2715964
2012,2733275
2013,2746132
2014,2753676
2015,2757203
2016,2755833
2017,2756313
2018,2753146
2019,2749996
2020,2745196
2021,2706324
2022,2684076
2023,2699144
2024,2721308
2025,2740120